ID,PredictedProb
0,0.43
1,0.79
2,0.67
7,0.42
10,0.69
11,0.52
13,0.88
14,0.49
15,0.89
16,0.83
17,0.67
18,0.74
19,0.89
20,0.85
25,0.94
26,0.78
29,0.75
38,0.97
41,0.96
44,0.54
45,0.48
47,0.77
48,0.72
49,0.74
50,0.86
53,0.42
56,0.62
59,0.89
60,0.67
64,0.79
65,0.96
66,0.65
68,0.91
69,0.67
70,0.89
71,0.81
72,0.65
76,0.77
80,0.82
82,0.57
83,0.95
85,0.91
86,0.78
87,0.77
89,0.85
97,0.73
99,0.68
101,0.81
102,0.17
103,0.51
104,0.55
106,0.96
107,0.46
109,0.82
111,0.43
113,0.72
114,0.67
118,0.82
119,0.65
120,0.8
123,0.64
128,0.48
129,0.79
131,0.78
133,0.7
134,0.68
136,0.94
137,0.66
139,0.68
140,0.83
142,0.79
144,0.78
146,0.89
147,0.75
148,0.89
150,0.35
151,0.3
152,0.97
155,0.97
158,0.91
159,0.63
160,0.92
161,0.73
165,0.91
166,0.48
170,0.89
171,0.75
174,0.74
175,0.66
179,0.83
180,0.88
181,0.82
184,0.66
185,0.63
187,0.87
188,0.82
190,0.81
191,0.7
192,0.61
193,0.81
196,0.85
197,0.43
198,0.6
205,0.29
211,0.71
213,0.6
214,0.92
217,0.51
218,0.9
221,0.74
222,0.63
225,0.78
229,0.62
236,0.55
237,0.91
238,0.78
239,0.93
242,0.74
245,0.88
246,0.79
247,0.9
248,0.93
254,0.9
255,0.52
257,0.96
259,0.72
264,0.94
270,0.75
272,0.91
274,0.49
275,0.55
278,0.75
280,0.3
281,0.39
282,0.45
283,0.83
284,0.94
286,0.81
287,0.89
288,0.88
289,0.94
290,0.65
291,0.69
294,0.54
295,0.32
297,0.58
299,0.59
305,0.87
307,0.43
308,0.8
313,0.66
314,0.87
315,0.8
316,0.9
317,0.85
319,0.65
322,0.83
323,0.77
324,0.79
326,0.85
327,0.8
329,0.98
330,0.24
331,0.41
336,0.43
337,0.52
338,0.78
340,0.94
345,0.48
347,0.91
348,0.83
350,1.0
352,0.75
356,0.95
357,0.94
358,0.94
359,0.87
361,0.75
363,0.3
364,0.67
368,0.87
376,0.97
378,0.71
382,0.8
384,0.57
385,0.94
388,0.19
389,0.99
391,0.53
392,0.68
395,0.79
396,0.9
397,0.73
399,0.65
404,0.93
407,0.49
409,0.85
410,0.79
413,0.77
414,0.64
416,0.64
418,0.72
419,0.75
420,0.94
422,0.96
423,0.64
427,0.64
429,0.98
430,0.48
431,0.66
432,0.78
433,0.92
434,0.19
436,0.83
437,0.91
451,0.77
452,0.77
454,0.53
457,0.74
458,0.82
460,0.46
461,0.96
462,0.72
463,0.81
465,0.96
467,0.85
473,0.84
474,0.93
480,0.24
481,0.71
483,0.93
484,0.43
485,0.48
487,0.85
490,0.97
491,0.83
492,0.7
496,0.73
497,0.66
498,0.76
499,0.83
501,0.79
502,0.75
503,0.85
506,0.9
507,0.75
508,0.5
509,0.82
510,0.81
511,0.76
513,0.74
515,0.89
521,0.53
522,0.79
523,0.89
525,0.8
529,0.82
530,0.76
531,0.82
533,0.71
534,0.63
535,0.94
537,0.7
541,0.62
542,0.79
543,0.7
544,0.83
545,0.7
549,0.97
550,0.9
551,0.82
553,0.63
556,0.83
558,0.48
560,0.61
563,0.63
564,0.94
567,0.48
572,0.71
573,0.89
577,0.81
583,0.8
584,0.81
585,0.76
586,0.72
588,0.78
590,0.69
591,0.64
593,0.9
594,0.77
597,0.77
598,0.71
599,0.89
603,0.81
604,0.71
606,0.95
607,0.58
609,0.84
614,0.82
615,0.91
616,0.49
617,0.86
618,0.87
619,0.83
620,0.81
623,0.65
625,0.9
626,0.74
627,0.84
632,0.93
633,0.58
634,0.89
635,0.65
636,0.81
637,0.76
638,0.8
639,0.87
642,0.5
643,0.83
644,0.91
645,0.44
646,0.78
650,0.93
653,0.77
654,0.63
655,0.56
656,0.9
657,0.86
658,0.68
